vorname;anzahl
İlgin;1
Çicek;1
Élodie;1
Émilie;1
Açelya;1
Aaliyah;6
Abdulkarim;1
Abdulmanonova;1
Abed;1
Abeer;1
Abigail;3
Ada;6
Adélia;1
Adama;1
Adele;1
Adelheid;2
Adelina;1
Adeline;1
Adelisa;1
Adil;1
Adjorkor;1
Adriana;4
Adriana-Maria;1
Adrijana;1
Aeila;1
Aenny;1
Afia;1
Afrona;1
Agathi;1
Agi;1
Aglaia;1
Agnes;3
Agnia;1
Ahat;1
Ahelina;1
Ahlam;1
Ahsen;1
Aicha;4
Aikaterini;1
Aila;1
Aileen;3
Aimée;1
Aimee-Grace;1
Aisha;2
Aissatou;1
Aiyana;1
Ajdina;1
Aji;1
Ajla;1
Ajlina;1
Aki;1
Akira;1
Akosua;2
Akua;1
Al;1
Alaa;1
Alae;1
Alamea;1
Alara;1
Albesa;1
Albina;1
Alea;2
Alejandra;1
Alekseyevna;1
Alena;2
Alessandra;1
Alessia;12
Alessia-Lambada;1
Alessya;1
Alex;1
Alexa;2
Alexandra;18
Alexandra-Nataşa;1
Alexia;1
Alexis;1
Aleyna;3
Alia;1
Alice;4
Alicia;3
Alicja;1
Alien;1
Alina;17
Alisa;2
Alisha;1
Alisia;1
Alissa;4
Alix;1
Aliya;4
Aliyah;2
Aliye;1
Allegra;1
Alleria;1
Alma;8
Almina;2
Alona;1
Altina;1
Alva;2
Alya;3
Amália;2
Amélie;4
Amaani;1
Amadea;1
Amal;3
Amalia;12
Amalya;1
Amanda;1
Amani;2
Amara;3
Amarachi;1
Amaryllis;1
Amaya;4
Amber;1
Amelia;11
Amelie;25
Amelie-Jingting;1
Amelie-Kristina;1
Amelie-Marie;1
Amelina;1
Amie;1
Amilia;2
Amina;15
Amina-Niame;1
Amira;19
Ammara;1
Amra;1
Amrit;1
Amy;4
Amy-Medina;1
An;2
Ana;7
Anaïs;1
Anabel;2
Anabell;3
Anabella;1
Analtoljevna;1
Anashe;1
Anastasia;11
Anastasia-Elena;1
Anastasija;1
Anastasya-Măriuca;1
Anaya;1
Andrìïvna;1
Andrea;2
Andreanova;1
Andreea;1
Andreyevna;1
Anea;1
Anela;1
Aneta;2
Anette;1
Ange;1
Angel;3
Angela;2
Angelika;3
Angelina;4
Angelina-Mayleen;1
Angelova;1
Angie;2
Anh;2
Ania;1
Aniceta;1
Anife;1
Anika;2
Anisa;2
Anissa;3
Anita;1
Ann;1
Anna;68
Annabel;2
Annabell;2
Annabella;1
Annabelle;8
Anna-Carlotta;1
Anna-Elise;1
Annalena;1
Anna-Lena;1
Anna-Louisa;1
Annamaria;1
Anna-Maria;1
Anna-Sophie;1
Anne;4
Anne-Catherine;1
Annegret;1
Anneli;1
Annelie;4
Anneliese;1
Annemarie;2
Anni;6
Annie;4
Annika;6
Anouk;2
Anran;1
Anthonia;1
Antonella;1
Antonia;23
Antonie;2
Antonina;1
Anusha;2
Anwi;1
Anyi;1
Anzhe;1
Ül;1
Ülkü-Nas;1
Apolonia;1
Araboaica;1
Arbresha;1
Ardiona;1
Ardlina;1
Areen;1
Arfa;2
Aria;1
Ariana;4
Ariane;3
Arica;1
Ariela;1
Arija;1
Arin;1
Arina;3
Arissa;1
Arjana;1
Arjona;1
Arnoda;1
Aroa;1
Artemis-Alexis;1
Arvinerdene;1
Arwen;1
Arya;3
Aryam;1
Aryana;1
Aseda;2
Aseel;1
Asenat;1
Ashley;3
Asia;3
Asiya;1
Ělěna;1
Aslı;1
Asma;1
Asmaa;2
Asna;1
Assia;1
Assil;1
Assya;1
Astrid;2
Asya-Annabell;1
Atanasova;1
Athinà;1
Atina;1
Audrey;1
August;1
Aurélie;3
Aurelia;10
Aurelie;2
Aurora;8
Aurora-Rosa;1
Ava;19
Ava-Miel;1
Avin;1
Awa;1
Aya;4
Ayana;1
Ayanda;1
Ayat;1
Ayşe;3
Öykü;1
Ayla;3
Ayla-Numidia;1
Aylin;5
Aylis;1
Ayna;1
Ayshe;1
Şükran;1
Azamovna;1
Özge;1
Azisa;1
Aziza;1
Öznur;1
Azra;5
Azra-Lina;1
Ştefania;1
Bärbel;1
Büsra;1
Bade;1
Bahar;1
Bahati;1
Baniya;1
Banu;1
Barana;1
Barbara;4
Barianna;1
Basma;2
Bassima;1
Batoma;1
Beatrice;4
Beatrix;1
Beatriz;1
Belin;1
Belinay;1
Bella;6
Bellatrix;1
Belle;1
Benedicta;1
Beren;1
Berenike;1
Beren-Su;1
Berlin;1
Betül;1
Betsy;1
Bettina;1
Beya;2
Bianca;2
Blanka;1
Blenerta;1
Boaduwaa;1
Bonnie;1
Borysovna;1
Briana;1
Bridget-Amankwah;1
Brigitte;1
Brune;1
Cäcilia;1
Cécile;1
Cécilia;3
Céleste;1
Célestine;1
Célia;2
California;1
Calla;1
Calypso;1
Camille;1
Cansu;2
Caoimhe;1
Cara;2
Carina;1
Carla;21
Carlina;1
Carlota;1
Carlotta;27
Carmen;1
Carolin;5
Carolina;5
Caroline;7
Casey;1
Casey-Rose;1
Cataleya;3
Catarina;1
Caterina;2
Cathalea;1
Catharina;3
Cecilia;3
Cecilie;1
Cecily;1
Celia;2
Celina;5
Celine;4
Cem;1
Cennet;1
Ceren;1
Ceylan;1
Chaima;2
Charistoula;1
Charlene;1
Charline;2
Charlott;1
Charlotta;1
Charlotte;86
Charmaine;1
Chayenne;1
Chen;1
Cheyenne;1
Chiaki;1
Chiara;3
Chidiebere;1
Chihana;1
Chimamanda;1
Chinemerem;1
Chloe;2
Christa;1
Christabel;1
Christin;3
Christina;7
Christine;8
Chyara;1
Cinderella;1
Cirifou;1
Claire;8
Clara;44
Clarissa;1
Clarisse;1
Claudia;4
Clelia;1
Clementine;4
Cleo;2
Coco;1
Confetti;1
Coralin;1
Cornelia;2
Cosima;4
Dafina;1
Dafni;1
Dalia;4
Damla;2
Dana;4
Danae;1
Dana-Farina;1
Danica;1
Daniela;3
Daniella;1
Daniya;1
Dansowaa;1
Daria;3
Darya;2
Dayana;1
Defne;8
Delali;1
Delara;1
Delaram;1
Delilah;1
Delvin;1
Denise;1
Deniz;3
Despina;1
Devi;1
Deyue;1
Dhriti;1
Diệp;1
Diana;14
Diane;1
Diellona;1
Dilara;4
Dilara-Elizabeta;1
Dimitra;3
Dimitrova;1
Dimova;1
Dina;1
Dinela;1
Diponegoro;1
Discha;1
Dita;1
Divine;1
Dmytrevna;1
Dmytrivna;1
Doad;1
Dobromirova;1
Dominique;1
Dona;1
Donya;1
Dora;2
Doreen;1
Dorentina;1
Dorisa;1
Dorka;1
Dorota;1
Dorothea;4
Doti;1
Dounia;1
Dua;2
Duanaz;1
Dunja;1
Dunya;1
Durusu;1
Dzhelil;1
Dzula;1
Ebba;2
Ece;3
Ecrin;3
Eda;4
Edda;3
Edina;1
Edita;1
Edith;4
Efnan;1
Efrata;1
Eftihia;1
Eita;1
Ejona;1
Ekatharina;1
Ekin;1
Ela;12
Eléne;1
Elaf;1
Elaia;1
Elda;1
Elea;4
Eleanor;1
Elef;1
Elena;18
Elena-Bogdana;1
Eleni;5
Elenia;1
Eleni-Irini;1
Eleni-Maria;1
Elenora;1
